chip_affymetrix_chip,pp_number_of_probe_pairs,a_fy4_a,alpha_fy5_alpha,gal_gal,heat_heat,rel_alpha_fy5_alpha,rel_gal_gal,rel_heat_heat,avg_abund,median_deviation_of_log_fc_gal,sig_gal,sig_and_fc_gal,median_deviation_of_log_fc_fy5_alpha,sig_fy5_alpha,sig_and_fc_fy5_alpha,median_deviation_of_log_fc_heat,sig_heat,sig_and_fc_heat,thrshld_1=below_detection_fy4_a,thrshld_1=below_detection_fy5_alpha,thrshld_1=below_detection_gal,thrshld_1=below_detection_heat,thrshld_gal,thrshld_fy5_alpha,thrshld_heat,below_threshold_in_all_conditions,classification,id
B,20.0,0.1,0.1,0.1,0.07,0.0,0.0,-0.12,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.07,1.71,0.0,1.0,1.0,1.0,?,5.0,5.0,?,0.0,01.05.25@11.02.03.01@11.02.03.04,335
B,20.0,0.1,0.14,0.11,0.14,0.0,-0.01,0.0,0.12,0.07,0.1,0.0,0.07,0.0,0.0,0.16,0.0,0.0,?,?,?,?,?,5.0,4.0,0.0,01.05@14.07.02.02,336
B,20.0,0.77,0.54,0.44,0.82,0.0,-0.05,0.09,0.64,0.06,0.8,0.0,0.05,0.0,0.0,0.06,1.5,0.0,?,?,?,?,?,?,?,0.0,01.07.01@01.20.19.01,337
B,20.0,1.04,0.97,0.77,1.03,0.0,-0.04,-0.06,0.95,0.06,0.7,0.0,0.12,0.0,0.0,0.07,0.86,0.0,?,?,?,?,?,5.0,?,0.0,20.01.07@20.01.11@20.01.26@20.09.18,338
B,20.0,0.15,0.16,0.12,0.16,0.0,-0.02,0.0,0.15,0.13,0.2,0.0,0.06,0.0,0.0,0.18,0.0,0.0,?,?,?,?,?,5.0,5.0,0.0,11.04.01@12.01.01@16.19.03,339
B,21.0,0.09,0.1,0.1,0.07,0.0,0.0,-0.15,0.08,0.08,0.0,0.0,0.05,0.0,0.0,0.13,1.15,0.0,?,1.0,1.0,?,5.0,5.0,?,0.0,11.02.03.04@34.01.01.01,340
B,20.0,0.1,0.1,0.1,0.07,0.0,0.0,-0.1,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.07,1.43,0.0,1.0,1.0,1.0,?,5.0,5.0,?,0.0,11.04.01@11.04.02@11.04.03@12.01@20.01.21@20.09.01@30.01@34.11.03.07,341
B,20.0,0.12,0.08,0.12,0.11,0.0,0.0,0.0,0.11,0.06,0.0,0.0,0.07,0.0,0.0,0.18,0.0,0.0,?,?,?,?,5.0,5.0,4.0,0.0,10.01.09.05@10.03.01.01.01@11.02.03.01.01@11.02.03.04@14.07.04@42.10.03,342
B,21.0,0.27,0.13,0.3,0.31,0.0,-0.01,-0.05,0.25,0.09,0.1,0.0,0.11,0.0,0.0,0.12,0.42,0.0,?,?,?,?,?,5.0,?,0.0,01.05.25@11.02.03.04@18.02.01.01.05@32.01@42.19,343
B,20.0,0.1,0.1,0.1,0.1,0.0,0.0,0.16,0.08,0.02,0.0,0.0,0.02,0.0,0.0,0.14,1.14,0.0,1.0,1.0,1.0,?,5.0,5.0,2.0,0.0,01.20.15.03@02.13@14.10,344
B,20.0,0.1,0.08,0.12,0.14,0.0,0.0,0.0,0.1,0.08,0.0,0.0,0.03,0.0,0.0,0.17,0.0,0.0,1.0,?,?,?,4.0,5.0,4.0,0.0,11.04.03.05@16.03.03@20.01.21,345
B,21.0,0.31,0.25,0.81,0.43,0.0,0.39,0.1,0.45,0.17,2.3,1.0,0.14,0.0,0.0,0.14,0.71,0.0,?,?,?,?,?,5.0,?,0.0,01.06,346
B,20.0,0.17,0.17,0.2,0.26,0.0,0.15,-0.03,0.2,0.16,0.9,0.0,0.07,0.0,0.0,0.14,0.21,0.0,?,?,?,?,?,5.0,?,0.0,10.01.05.01@11.02.03.01,347
B,21.0,0.1,0.1,0.1,0.07,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.18,0.0,0.0,1.0,1.0,1.0,?,5.0,5.0,5.0,0.0,11.04.03.01@32.01,348
B,21.0,0.1,0.1,0.11,0.07,0.0,0.19,0.0,0.08,0.21,0.9,0.0,0.02,0.0,0.0,0.18,0.0,0.0,1.0,1.0,?,?,?,5.0,4.0,0.0,01.05.25@02.19@18.02.01,349
B,21.0,0.9,0.74,0.83,0.84,0.0,0.12,0.03,0.83,0.16,0.8,0.0,0.13,0.0,0.0,0.14,0.21,0.0,?,?,?,?,?,5.0,?,0.0,01.01.09.04@01.01.09.05@01.01.09.06@01.07@20.01.15,350
B,21.0,0.1,0.09,0.11,0.14,0.0,0.0,0.03,0.11,0.12,0.0,0.0,0.11,0.0,0.0,0.15,0.2,0.0,?,?,?,?,5.0,5.0,?,0.0,11.02.03.01.01@11.02.03.04@32.05.01.03.03@34.01.01.01,351
B,21.0,0.1,0.1,0.1,0.09,0.0,0.0,0.0,0.08,0.02,0.0,0.0,0.18,0.0,0.0,0.18,0.0,0.0,1.0,?,1.0,?,5.0,5.0,4.0,0.0,11.04.02@12.01@14.04@16.07@20.01.10@20.01.21@20.09.01@42.10.05,352
B,20.0,0.1,0.09,0.1,0.16,0.0,0.0,0.0,0.11,0.12,0.0,0.0,0.05,0.0,0.0,0.18,0.0,0.0,1.0,?,?,?,5.0,5.0,?,0.0,01.03.16.01@01.03.16.03@10.01.05@10.03.01@11.04.01@11.04.03@43.01.03.05,353
B,21.0,0.19,0.36,1.31,0.36,0.0,0.27,-0.04,0.56,0.29,0.9,0.0,0.13,0.0,0.0,0.14,0.29,0.0,?,?,?,?,?,5.0,?,0.0,02.11@02.13.03@18.02.01@20.01.15,354
B,21.0,0.1,0.1,0.1,0.05,0.0,0.0,-0.17,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.01,17.0,0.0,1.0,1.0,1.0,?,5.0,5.0,?,0.0,43.01.03.09,355
B,20.0,0.17,0.17,0.23,0.23,0.0,0.05,0.0,0.2,0.13,0.4,0.0,0.05,0.0,0.0,0.17,0.0,0.0,?,?,?,?,?,5.0,2.0,0.0,14.04@16.07@20.09.13@20.09.18,356
B,20.0,0.1,0.08,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.04,0.0,0.0,0.18,0.0,0.0,1.0,?,1.0,1.0,5.0,5.0,5.0,0.0,10.01.09.05@10.03.01@11.02.03.01.04@11.02.03.04,357
B,21.0,0.09,0.09,0.11,0.16,0.0,0.0,-0.02,0.11,0.04,0.0,0.0,0.08,0.0,0.0,0.16,0.13,0.0,?,?,?,?,5.0,5.0,?,0.0,10.03.01@18.02.01,358
B,21.0,0.1,0.1,0.09,0.05,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.18,0.0,0.0,1.0,1.0,?,?,5.0,5.0,5.0,0.0,10.03.01@10.03.04.09@10.03.05.01@20.09.14@42.04.05,359
B,20.0,0.1,0.1,0.1,0.09,0.0,0.0,0.0,0.08,0.07,0.0,0.0,0.02,0.0,0.0,0.18,0.0,0.0,1.0,1.0,1.0,?,5.0,5.0,5.0,0.0,14.04@20.01.10@20.09.01@42.10,360
B,20.0,0.1,0.1,0.1,0.06,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.17,0.0,0.0,1.0,1.0,1.0,?,5.0,5.0,4.0,0.0,11.02.03.01.04,361
B,20.0,0.15,0.15,0.11,0.24,0.0,0.0,-0.06,0.16,0.15,0.0,0.0,0.1,0.0,0.0,0.16,0.38,0.0,?,?,?,?,5.0,5.0,?,0.0,01.04@01.06.02.01,362
B,20.0,0.52,0.47,0.68,0.44,0.0,0.0,0.0,0.53,0.11,0.0,0.0,0.07,0.0,0.0,0.19,0.0,0.0,?,?,?,?,5.0,5.0,5.0,0.0,20.01.01.01@20.01.15@20.03.22@20.09.13@34.01.01.03,363
B,21.0,0.1,0.1,0.09,0.1,0.0,0.03,0.0,0.07,0.09,0.3,0.0,0.02,0.0,0.0,0.18,0.0,0.0,1.0,1.0,?,1.0,2.0,5.0,5.0,0.0,01.04@14.04@16.19.03@20.09.04,364
B,20.0,0.1,0.1,0.1,0.37,0.0,0.0,0.41,0.15,0.06,0.0,0.0,0.02,0.0,0.0,0.38,1.08,1.0,1.0,1.0,1.0,?,5.0,5.0,?,0.0,01.05.02.04@01.05.02.07@02.07,365
B,20.0,0.43,0.49,0.65,0.57,0.0,0.12,0.22,0.54,0.19,0.6,0.0,0.16,0.0,0.0,0.17,1.29,1.0,?,?,?,?,?,5.0,?,0.0,01.01@20.01.07@20.09.18,366
B,20.0,0.65,0.57,0.67,0.7,0.0,0.01,-0.02,0.65,0.12,0.1,0.0,0.09,0.0,0.0,0.09,0.22,0.0,?,?,?,?,?,5.0,?,0.0,10.01.05@10.01.09.05@10.03.04.05@11.02.03.01.04@11.02.03.04,367
B,21.0,0.1,0.1,0.1,0.07,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.18,0.0,0.0,1.0,1.0,1.0,?,5.0,5.0,5.0,0.0,11.04.03.01,368
B,20.0,0.1,0.1,0.08,0.1,0.0,0.0,-0.04,0.08,0.08,0.0,0.0,0.02,0.0,0.0,0.13,0.31,0.0,1.0,1.0,?,?,5.0,5.0,?,0.0,10.03.01@14.01@16.01@42.04,369
B,20.0,0.1,0.1,0.1,0.09,0.0,0.0,-0.07,0.08,0.02,0.0,0.0,0.03,0.0,0.0,0.11,0.64,0.0,1.0,1.0,1.0,?,5.0,5.0,?,0.0,12.04.01,370
B,20.0,0.19,0.19,0.26,0.2,0.0,0.05,-0.04,0.21,0.1,0.5,0.0,0.15,0.0,0.0,0.13,0.31,0.0,?,?,?,?,?,5.0,?,0.0,12.10,371
B,21.0,0.2,0.16,0.19,0.35,0.0,0.0,0.02,0.23,0.05,0.0,0.0,0.04,0.0,0.0,0.09,0.22,0.0,?,?,?,?,5.0,5.0,2.0,0.0,01.03.16.01@11.04.01,372
B,21.0,0.1,0.08,0.14,0.09,0.0,0.0,-0.11,0.1,0.06,0.0,0.0,0.03,0.0,0.0,0.07,1.57,0.0,1.0,?,?,?,5.0,5.0,?,0.0,20.01.01.01@20.01.01.07@20.09.18,373
B,20.0,0.1,0.12,0.18,0.17,0.0,0.07,0.01,0.14,0.09,0.8,0.0,0.03,0.0,0.0,0.19,0.05,0.0,1.0,?,?,?,?,5.0,?,0.0,10.01.03@10.03.01@14.13@40.20,374
B,20.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.09,0.04,0.0,0.0,0.09,0.0,0.0,0.15,0.0,0.0,1.0,?,1.0,?,5.0,5.0,4.0,0.0,12@14.07.04,375
B,19.0,1.23,1.66,0.93,1.35,0.0,-0.09,0.12,1.29,0.36,0.3,0.0,0.23,0.0,0.0,0.24,0.5,0.0,?,?,?,?,?,?,?,0.0,12.01.01@16.03.03,376
B,20.0,0.08,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.04,0.0,0.0,0.05,0.0,0.0,0.18,0.0,0.0,?,1.0,1.0,1.0,5.0,5.0,5.0,0.0,01.03.04@01.03.10@11.06.02,377
B,20.0,0.9,1.29,0.98,0.96,0.0,0.1,-0.13,1.03,0.16,0.6,0.0,0.16,0.0,0.0,0.17,0.76,0.0,?,?,?,?,?,5.0,?,0.0,01.03.07@10.01.03@10.01.05.01,378
B,21.0,0.1,0.1,0.1,0.07,0.0,0.0,-0.14,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.12,1.17,0.0,1.0,1.0,1.0,?,5.0,5.0,?,0.0,14.07.05@14.10@14.13.01.01@16.01@16.19.03,379
B,20.0,0.24,0.29,0.46,0.46,0.0,0.0,0.22,0.36,0.05,0.0,0.0,0.1,0.0,0.0,0.19,1.16,1.0,?,?,?,?,5.0,5.0,?,0.0,20.01.01.01.01@20.01.07@20.09.16@20.09.18@34.01.01.01,380
B,20.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.08,0.05,0.0,0.0,0.04,0.0,0.0,0.18,0.0,0.0,?,1.0,1.0,1.0,5.0,5.0,5.0,0.0,20.01.27@32.05.01.03@32.07,381
B,20.0,0.1,0.1,0.08,0.07,0.0,0.0,0.0,0.08,0.15,0.0,0.0,0.09,0.0,0.0,0.12,0.0,0.0,1.0,1.0,?,?,4.0,5.0,4.0,0.0,02.13@02.25,382
B,21.0,0.1,0.1,0.1,0.06,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.18,0.0,0.0,1.0,1.0,1.0,?,5.0,5.0,5.0,0.0,11.04.03.01@12.07@16.03.03,383
B,21.0,0.1,0.1,0.1,0.07,0.0,0.0,0.0,0.07,0.03,0.0,0.0,0.02,0.0,0.0,0.18,0.0,0.0,1.0,1.0,1.0,?,5.0,5.0,5.0,0.0,20.01.27@32.07,384
B,20.0,0.09,0.1,0.1,0.13,0.0,0.0,-0.03,0.09,0.09,0.0,0.0,0.06,0.0,0.0,0.15,0.2,0.0,?,1.0,1.0,?,5.0,5.0,?,0.0,01.05.03.02.04@01.05.25@14.07.02.02,385
B,20.0,0.1,0.1,0.12,0.12,0.0,0.0,-0.08,0.1,0.06,0.0,0.0,0.08,0.0,0.0,0.16,0.5,0.0,1.0,1.0,?,?,5.0,5.0,?,0.0,01.05.03@01.05.25@02.19@42.01,386
B,20.0,0.17,0.14,0.2,0.22,0.0,0.05,0.09,0.18,0.07,0.7,0.0,0.17,0.0,0.0,0.21,0.43,0.0,?,?,?,?,?,5.0,?,0.0,10.01.03@10.03.01@14.13@40.20@42.16,387
B,21.0,0.1,0.1,0.1,0.08,0.0,0.0,0.0,0.08,0.11,0.0,0.0,0.04,0.0,0.0,0.18,0.0,0.0,?,1.0,1.0,?,5.0,5.0,5.0,0.0,14.10@16.01@20.09.18.09.01,388
B,20.0,0.1,0.1,0.1,0.07,0.0,0.0,0.0,0.07,0.05,0.0,0.0,0.02,0.0,0.0,0.18,0.0,0.0,1.0,1.0,1.0,?,5.0,5.0,5.0,0.0,11.02.01@11.02.02@11.02.03.01,389
B,20.0,7.04,5.36,5.52,18.5,0.0,0.05,0.3,9.1,0.32,0.2,0.0,0.15,0.0,0.0,0.2,1.5,1.0,?,?,?,?,?,?,?,0.0,01.05.02.07@01.20.15@02.01,390
B,20.0,0.23,0.21,0.31,0.27,0.0,0.1,0.06,0.26,0.16,0.6,0.0,0.04,0.0,0.0,0.21,0.29,0.0,?,?,?,?,?,5.0,?,0.0,01.07.01@01.20,391
B,20.0,0.1,0.1,0.13,0.53,0.0,0.04,0.75,0.21,0.09,0.4,0.0,0.05,0.0,0.0,0.17,4.41,1.0,1.0,1.0,?,?,?,5.0,2.0,0.0,01.05@02.07@16.21.07,392
B,20.0,0.1,0.1,0.1,0.09,0.0,0.0,0.0,0.09,0.04,0.0,0.0,0.06,0.0,0.0,0.12,0.0,0.0,?,1.0,?,?,5.0,5.0,4.0,0.0,14.01@20.01.01.01.01@20.03@20.09.04,393
B,20.0,0.14,0.11,0.15,0.19,0.0,0.01,0.07,0.15,0.18,0.1,0.0,0.1,0.0,0.0,0.17,0.41,0.0,?,?,?,?,?,5.0,?,0.0,01.07.01,394
B,20.0,0.1,0.1,0.1,0.1,0.0,0.0,0.06,0.08,0.02,0.0,0.0,0.03,0.0,0.0,0.22,0.27,0.0,1.0,1.0,1.0,?,5.0,5.0,2.0,0.0,16.19.03@20.01.27@20.03.22@20.03.25@32.05.01.03,395
B,20.0,0.1,0.08,0.17,0.1,0.0,0.3,0.0,0.09,0.19,1.6,1.0,0.07,0.0,0.0,0.18,0.0,0.0,1.0,?,?,1.0,2.0,5.0,5.0,0.0,01.07.01,396
B,20.0,0.14,0.15,0.11,0.12,0.0,0.0,0.02,0.13,0.04,0.0,0.0,0.12,0.0,0.0,0.18,0.11,0.0,?,?,?,?,5.0,5.0,2.0,0.0,01.06.02.02@14.04@40.10@40.20,397
B,20.0,0.07,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.18,0.0,0.0,?,1.0,1.0,1.0,5.0,3.0,5.0,0.0,16.01@20.09.13,398
B,20.0,0.1,0.1,0.1,0.06,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.16,0.0,0.0,1.0,1.0,1.0,?,5.0,5.0,4.0,0.0,10.01.03@10.01.05.03.01@10.03.02@16.03.03@43.01.03.09,399
B,21.0,0.09,0.1,0.1,0.1,0.0,-0.05,0.0,0.08,0.04,1.3,0.0,0.02,0.0,0.0,0.18,0.0,0.0,?,?,1.0,1.0,?,5.0,5.0,0.0,30.01.05.05.01@30.05.01@32.01.05@34.11.09@42.01@42.04.03,400
B,20.0,0.1,0.1,0.29,0.16,0.0,0.09,0.11,0.15,0.19,0.5,0.0,0.02,0.0,0.0,0.27,0.41,0.0,1.0,1.0,?,?,2.0,5.0,2.0,0.0,01.04@01.05@01.06,401
B,20.0,0.1,0.1,0.1,0.06,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.18,0.0,0.0,1.0,1.0,1.0,?,5.0,5.0,4.0,0.0,01.04@16.19.03@20.03.25,402
B,20.0,0.1,0.1,0.14,0.19,0.0,0.0,0.0,0.13,0.04,0.0,0.0,0.05,0.0,0.0,0.18,0.0,0.0,1.0,?,?,?,5.0,5.0,5.0,0.0,32.01,403
B,20.0,0.1,0.1,0.1,0.06,0.0,0.0,-0.1,0.07,0.03,0.0,0.0,0.08,0.0,0.0,0.07,1.43,0.0,1.0,1.0,1.0,?,5.0,5.0,?,0.0,01.07.01,404
B,41.0,0.1,0.1,0.07,0.07,0.0,0.0,-0.12,0.07,0.03,0.0,0.0,0.02,0.0,0.0,0.08,1.5,0.0,1.0,1.0,?,?,5.0,5.0,?,0.0,14.04@20.09.07@20.09.13@42.25,405
B,38.0,0.1,0.1,0.1,0.06,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.18,0.0,0.0,1.0,1.0,1.0,?,5.0,5.0,5.0,0.0,20.09.18.09.01@40.01@42.04.03@43.01.03.05,406
B,21.0,0.35,0.39,0.68,0.6,0.0,0.14,0.11,0.51,0.16,0.9,0.0,0.13,0.0,0.0,0.28,0.39,0.0,?,?,?,?,?,5.0,?,0.0,12.10@16.19.03,407
B,21.0,0.24,0.19,0.22,0.38,0.0,0.0,0.08,0.26,0.11,0.0,0.0,0.08,0.0,0.0,0.13,0.62,0.0,?,?,?,?,5.0,5.0,?,0.0,12.10,408
B,20.0,0.08,0.11,0.14,0.16,0.0,0.0,0.01,0.12,0.09,0.0,0.0,0.09,0.0,0.0,0.18,0.06,0.0,?,?,?,?,5.0,5.0,?,0.0,14.07.11,409
B,21.0,0.09,0.19,0.14,0.17,0.0,0.0,0.17,0.15,0.17,0.0,0.0,0.07,0.0,0.0,0.21,0.81,0.0,?,?,?,?,5.0,5.0,?,0.0,14.07.11@14.13.04,410
B,21.0,0.2,0.18,0.17,0.14,0.0,0.0,-0.13,0.17,0.02,0.0,0.0,0.03,0.0,0.0,0.09,1.44,0.0,?,?,?,?,5.0,5.0,?,0.0,02.16@10.01.05.03.01,411
B,20.0,0.33,0.5,0.34,0.7,0.0,0.0,0.1,0.47,0.15,0.0,0.0,0.11,0.0,0.0,0.19,0.53,0.0,?,?,?,?,5.0,5.0,?,0.0,01.06.06.11@20.01.15@32.07,412
B,20.0,0.18,0.19,0.18,0.14,0.0,0.0,0.0,0.17,0.08,0.0,0.0,0.07,0.0,0.0,0.2,0.0,0.0,?,?,?,?,5.0,5.0,5.0,0.0,14.04@20.01.01.01.01@20.09.04,413
B,20.0,0.1,0.1,0.09,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0.0,0.02,0.0,0.0,0.18,0.0,0.0,1.0,1.0,?,1.0,5.0,5.0,5.0,0.0,11.04.01@16.19.03,414
B,20.0,0.23,0.32,0.19,0.29,0.0,0.0,-0.03,0.26,0.06,0.0,0.0,0.16,0.0,0.0,0.17,0.18,0.0,?,?,?,?,5.0,5.0,?,0.0,01.01@01.05@01.20.31,415
B,20.0,0.1,0.09,0.14,0.12,0.0,0.0,0.0,0.11,0.02,0.0,0.0,0.04,0.0,0.0,0.11,0.0,0.0,1.0,?,?,?,2.0,5.0,4.0,0.0,01.06.06.11,416
B,20.0,0.19,0.25,0.22,0.11,0.0,0.0,0.0,0.19,0.06,0.0,0.0,0.08,0.0,0.0,0.18,0.0,0.0,?,?,?,?,5.0,5.0,5.0,0.0,10.01.05@10.03.02@11.04.03.01@16.03.03,417
B,20.0,0.2,0.14,0.25,0.11,0.0,0.03,-0.2,0.18,0.08,0.4,0.0,0.09,0.0,0.0,0.05,4.6,1.0,?,?,?,?,?,?,1.0,0.0,14.04@20.09.16,418
B,20.0,0.1,0.1,0.08,0.07,0.0,0.0,0.0,0.07,0.04,0.0,0.0,0.02,0.0,0.0,0.18,0.0,0.0,1.0,1.0,?,?,5.0,5.0,4.0,0.0,43.01.03.09,419
B,20.0,0.1,0.1,0.14,0.1,0.0,0.15,0.0,0.09,0.17,0.9,0.0,0.03,0.0,0.0,0.18,0.0,0.0,1.0,1.0,?,1.0,?,5.0,5.0,0.0,16.03.01@30.01.05.05@34.11.03.07,420
B,20.0,0.11,0.14,0.08,0.12,0.0,0.0,0.0,0.11,0.09,0.0,0.0,0.1,0.0,0.0,0.18,0.0,0.0,?,?,?,?,5.0,5.0,5.0,0.0,12.01.01@42.16,421
B,20.0,0.12,0.1,0.1,0.1,0.0,-0.0,0.0,0.08,0.08,0.5,0.0,0.07,0.0,0.0,0.18,0.0,0.0,?,1.0,1.0,1.0,1.0,5.0,5.0,0.0,01.02@01.06@01.20.33@14.01@16.21.05,422
B,21.0,0.1,0.1,0.07,0.06,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.18,0.0,0.0,1.0,1.0,?,?,5.0,5.0,5.0,0.0,14.13.04@16.01@20.09@42.25,423
B,20.0,0.08,0.09,0.2,0.13,0.0,0.1,0.02,0.13,0.11,0.9,0.0,0.06,0.0,0.0,0.19,0.11,0.0,?,?,?,?,2.0,5.0,?,0.0,11.02.03.04@32.01.01@32.07.07,424
B,21.0,0.1,0.1,0.1,0.07,0.0,0.0,-0.14,0.07,0.03,0.0,0.0,0.02,0.0,0.0,0.03,4.67,0.0,1.0,1.0,1.0,?,5.0,5.0,?,0.0,01.05@14.07.02.01,425
B,20.0,0.12,0.11,0.14,0.17,0.0,0.0,0.01,0.14,0.04,0.0,0.0,0.05,0.0,0.0,0.13,0.08,0.0,?,?,?,?,?,5.0,?,0.0,11.02.03.01@16.03.01,426
B,20.0,0.1,0.09,0.08,0.12,0.0,0.0,0.0,0.09,0.07,0.0,0.0,0.1,0.0,0.0,0.18,0.0,0.0,1.0,?,?,?,5.0,5.0,5.0,0.0,14.04@20.01.10@20.03@20.09.04,427
B,20.0,0.14,0.12,0.14,0.09,0.0,0.01,0.0,0.12,0.15,0.1,0.0,0.14,0.0,0.0,0.17,0.0,0.0,?,?,?,?,?,5.0,4.0,0.0,11.04.03.05@14.07.05@14.10@14.13.01.01@16.01@16.19.03,428
B,20.0,0.09,0.1,0.12,0.07,0.0,0.02,0.0,0.09,0.04,0.5,0.0,0.07,0.0,0.0,0.17,0.0,0.0,?,1.0,?,?,?,5.0,4.0,0.0,01.03.16.01@11.02.03.04@11.04,429
B,20.0,2.69,2.41,2.93,1.48,0.0,0.04,0.0,2.38,0.08,0.5,0.0,0.08,0.0,0.0,0.21,0.0,0.0,?,?,?,?,?,5.0,5.0,0.0,02.11@02.13@16.21.05@20.01.15,430
B,21.0,0.09,0.08,0.07,0.19,0.0,0.0,0.0,0.11,0.03,0.0,0.0,0.09,0.0,0.0,0.17,0.0,0.0,?,?,?,?,5.0,5.0,?,0.0,01.01.13@10.03.01@11.02.03.04@14.07.05@14.13.01.01@16.01,431
B,20.0,0.1,0.08,0.15,0.12,0.0,0.14,0.03,0.11,0.16,0.9,0.0,0.12,0.0,0.0,0.17,0.18,0.0,1.0,?,?,?,2.0,5.0,2.0,0.0,42.16,432
B,21.0,0.1,0.14,0.1,0.06,0.0,0.0,0.0,0.09,0.02,0.0,0.0,0.03,0.0,0.0,0.18,0.0,0.0,1.0,?,?,?,5.0,5.0,5.0,0.0,01.03.07@10.01.03@10.01.05.01,433
B,21.0,0.08,0.1,0.1,0.08,0.0,0.03,-0.15,0.08,0.07,0.4,0.0,0.05,0.0,0.0,0.06,2.5,0.0,?,1.0,?,?,2.0,5.0,?,0.0,20.09.16.09.03@30.01.05.05.01@40.01@42.04.03@43.01.03.05,434
B,21.0,0.09,0.1,0.08,0.06,0.0,0.0,0.0,0.08,0.09,0.0,0.0,0.12,0.0,0.0,0.18,0.0,0.0,?,?,?,?,5.0,5.0,5.0,0.0,43.01.03.05,435
B,21.0,0.11,0.19,0.23,0.21,0.0,0.11,0.01,0.19,0.12,0.9,0.0,0.06,0.0,0.0,0.19,0.05,0.0,?,?,?,?,2.0,5.0,?,0.0,14.01@16.01@32.01.07@42.04,436
B,20.0,0.1,0.1,0.1,0.06,0.0,0.0,0.0,0.07,0.06,0.0,0.0,0.02,0.0,0.0,0.18,0.0,0.0,1.0,1.0,1.0,?,5.0,5.0,5.0,0.0,14.07.05@14.13.01,437
B,20.0,0.08,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.18,0.0,0.0,?,1.0,1.0,1.0,5.0,5.0,5.0,0.0,01.06.05@02.25,438
B,23.0,0.08,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.18,0.0,0.0,?,1.0,1.0,1.0,5.0,5.0,5.0,0.0,99,439
B,21.0,0.09,0.1,0.1,0.05,0.0,0.0,0.0,0.07,0.06,0.0,0.0,0.05,0.0,0.0,0.18,0.0,0.0,?,1.0,1.0,?,5.0,5.0,5.0,0.0,11.02.03.01@11.02.03.04,440
B,21.0,0.13,0.14,0.13,0.09,0.0,0.0,0.0,0.12,0.07,0.0,0.0,0.03,0.0,0.0,0.18,0.0,0.0,?,?,?,?,5.0,5.0,5.0,0.0,11.04.03.01@16.03.03,441
B,20.0,0.1,0.12,0.1,0.08,0.0,0.0,0.0,0.09,0.06,0.0,0.0,0.09,0.0,0.0,0.18,0.0,0.0,1.0,?,1.0,?,5.0,5.0,5.0,0.0,01.04@10.03.02@14.07.03@18.01.01@18.02.01@30.01.05.01@34.11.12@43.01.03.09,442
B,20.0,0.1,0.1,0.1,0.07,0.0,0.0,0.0,0.07,0.03,0.0,0.0,0.02,0.0,0.0,0.17,0.0,0.0,1.0,1.0,1.0,?,5.0,5.0,4.0,0.0,20.01.23@20.09.18,443
B,20.0,0.1,0.1,0.1,0.09,0.0,0.0,0.0,0.08,0.05,0.0,0.0,0.02,0.0,0.0,0.18,0.0,0.0,1.0,1.0,1.0,?,5.0,5.0,4.0,0.0,10.03.01.03,444
C,21.0,0.4,0.12,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0.0,0.47,0.0,0.0,0.17,0.0,0.0,1.0,?,1.0,1.0,5.0,4.0,5.0,0.0,01.03.16.01@11.04.01@11.04.03@16.03.03,445
C,20.0,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0.0,0.54,0.0,0.0,0.17,0.0,0.0,1.0,?,1.0,1.0,5.0,4.0,5.0,0.0,11.04.03.01@20.01.01.01.01@20.03@20.09.04,446
C,21.0,0.4,0.21,0.3,0.2,0.0,0.0,0.0,0.27,0.13,0.0,0.0,0.29,0.0,0.0,0.17,0.0,0.0,1.0,?,1.0,1.0,5.0,4.0,5.0,0.0,14.07.11,447
