alpha_0,alpha_7,alpha_14,alpha_21,alpha_28,alpha_35,alpha_42,alpha_49,alpha_56,alpha_63,alpha_70,alpha_77,alpha_84,alpha_91,alpha_98,alpha_105,alpha_112,alpha_119,elu_0,elu_30,elu_60,elu_90,elu_120,elu_150,elu_180,elu_210,elu_240,elu_270,elu_300,elu_330,elu_360,elu_390,cdc15_10,cdc15_30,cdc15_50,cdc15_70,cdc15_90,cdc15_110,cdc15_130,cdc15_150,cdc15_170,cdc15_190,cdc15_210,cdc15_230,cdc15_250,cdc15_270,cdc15_290,spo_0,spo_2,spo_5,spo_7,spo_9,spo_11,spo5_2,spo5_7,spo5_11,spo__early,spo__mid,heat_0,heat_10,heat_20,heat_40,heat_80,heat_160,dtt_15,dtt_30,dtt_60,dtt_120,cold_0,cold_20,cold_40,cold_160,diau_540,diau_660,diau_780,diau_900,diau_1020,diau_1140,diau_1260,classification,id
0.06,-0.01,-0.18,-0.3,-0.3,-0.14,0.08,0.01,-0.07,-0.3,-0.32,-0.64,-0.27,-0.69,-0.22,-0.56,-0.14,-0.34,-0.29,?,0.04,0.15,-0.14,-0.14,-0.03,0.07,-0.09,0.07,0.11,0.01,?,-0.06,0.57,0.04,-0.29,0.19,0.07,0.18,?,-0.03,0.16,?,0.07,0.36,0.36,0.11,0.42,0.01,0.37,0.14,-0.4,-0.4,-0.04,-0.22,-0.84,0.06,-0.25,-0.42,-0.1,-0.36,-0.06,-0.15,0.04,0.28,-0.04,-0.47,-0.29,-0.56,-0.17,-0.15,-0.12,-0.1,0.23,0.31,0.55,0.04,-0.07,0.65,0.33,01.04.04@20.01.01.07.07,234
0.67,0.63,0.67,0.5,0.73,0.07,0.61,0.15,0.65,0.36,0.46,0.32,0.44,0.2,0.74,0.21,0.23,0.56,0.76,-0.76,-0.6,-0.15,-0.12,-0.74,-0.34,-0.62,-0.04,-0.29,-0.67,-0.36,-0.76,-0.42,0.11,0.06,-0.2,-0.03,2.7,-0.06,-0.12,-0.36,-0.09,-0.43,-0.01,-0.25,-0.6,-0.32,-0.94,-0.47,-0.2,-0.27,-0.04,-0.32,-0.32,0.07,0.01,-0.62,-0.2,-0.03,-0.67,-0.03,-0.32,-0.32,0.15,-1.15,-0.67,-0.62,-0.36,-0.47,0.38,-0.34,-0.34,-0.34,-0.1,-0.15,-0.04,-0.25,-0.29,-0.71,-0.79,01.04@11.02.03.04@16.19.03,235
0.12,-0.47,-0.3,-0.18,0.21,0.29,0.01,0.03,-0.17,-0.18,-0.03,-0.12,-0.12,0.19,0.18,0.07,0.25,0.11,0.44,0.07,-0.14,-0.47,-0.32,-0.43,-0.2,-0.17,0.14,-0.27,-0.36,-0.09,0.08,-0.32,-0.03,-0.12,0.03,-0.01,0.04,-0.09,-0.07,-0.25,-0.17,0.31,-0.3,-0.27,0.16,0.14,0.06,-0.14,-0.29,-0.25,-0.34,-0.51,-0.32,-0.1,-0.25,-0.3,0.44,0.25,-0.27,0.5,0.01,-0.47,0.07,-0.47,-0.25,-0.47,-0.25,-0.38,-0.09,0.14,-0.01,-0.32,-0.15,0.03,-0.12,-0.32,-0.23,-0.04,0.51,01.05.25@11.02.03.04.01,236
0.24,0.16,0.06,0.69,0.29,0.37,0.58,-0.04,0.16,0.45,0.06,0.41,0.33,0.1,0.2,0.3,0.37,0.14,0.28,-0.22,-0.04,-0.01,0.18,0.3,-0.29,0.28,0.19,0.19,0.12,0.15,0.23,0.24,0.1,-0.07,0.07,-0.1,0.04,-0.2,-0.07,-0.17,-0.18,0.01,-0.22,-0.89,0.3,-0.09,0.21,?,-0.01,-0.01,-0.27,-0.86,-0.94,-0.29,-1.06,-1.15,0.71,0.23,-0.42,-0.45,-0.43,-0.23,0.06,-0.22,0.01,-0.38,-0.25,-0.23,-0.2,-0.34,0.25,0.6,-0.69,-0.47,0.24,-0.07,-0.36,0.48,-0.74,10.01.09.05@10.03.01@11.02.03.04,237
-0.29,-0.23,0.15,0.52,0.31,-0.03,0.28,-0.3,-0.14,-0.49,-0.23,-0.06,0.4,-0.22,-0.04,-0.34,-0.3,-0.6,-0.97,0.06,-0.07,-0.03,0.25,-0.01,0.2,0.06,0.06,0.07,-0.14,0.01,-0.18,0.2,-0.92,-0.56,-0.1,0.03,-0.43,-0.09,-0.14,1.42,0.06,-0.56,-0.76,-0.67,-0.54,-0.29,-0.51,-0.23,0.82,-0.32,-0.86,-0.45,0.51,0.88,-0.69,0.46,0.11,-0.84,0.16,-0.56,-0.07,?,-0.07,0.36,-0.4,-0.74,-0.43,-0.62,-0.15,0.16,-0.4,-0.6,0.07,?,0.59,-0.22,-0.45,0.12,0.46,42.19,238
-0.86,-0.22,0.5,0.57,-0.36,0.06,-0.69,-0.43,-0.42,0.2,0.32,0.63,0.31,0.14,-0.1,-0.12,-0.45,-0.32,0.2,0.41,0.03,0.1,0.06,0.37,0.42,0.31,0.14,0.14,0.3,0.06,0.18,0.26,0.03,1.18,0.56,-0.01,-0.43,-0.32,0.54,0.91,0.77,-0.07,-0.15,0.9,0.29,0.2,0.31,-0.07,-0.6,-1.32,-1.69,-1.29,-0.79,0.54,-0.2,0.74,0.23,0.07,-0.03,-0.01,-0.18,0.06,0.04,0.43,0.3,0.11,0.63,0.46,-0.23,0.38,0.23,-0.32,-0.06,0.2,0.39,-0.06,-0.36,0.33,0.16,01.05@14.07.02.02,239
?,-0.45,0.06,-0.12,0.01,0.03,-0.14,-0.2,0.08,-0.38,0.21,-0.07,0.11,0.06,0.14,0.19,-0.34,-0.17,-0.2,-0.14,?,-0.32,0.1,-0.1,-0.06,-0.07,0.06,0.14,0.08,?,-0.01,?,-0.32,-0.42,-0.32,0.04,-0.36,-0.3,-0.12,0.07,-0.09,-0.17,-0.22,-0.6,-0.23,-0.36,-0.12,0.03,0.12,-0.45,-0.58,-0.62,-0.29,0.37,-0.32,-0.2,0.16,-0.79,0.03,-0.06,-0.54,-0.6,-0.23,-1.03,-0.07,-0.34,0.18,0.14,-0.15,-0.2,-0.6,-0.4,0.28,0.54,1.06,0.18,-0.22,0.18,-0.17,01.05.03.02.04@10.03@14.07.02.02,240
-0.22,-0.2,-0.22,-0.27,-0.25,-0.07,-0.42,-0.32,0.01,0.16,-0.04,-0.18,-0.17,-0.45,-0.18,-0.09,-0.22,-0.14,-0.45,0.14,-0.94,-0.03,-0.29,-0.04,-0.15,0.25,0.12,0.23,0.18,0.15,0.31,0.33,?,-0.06,?,-0.1,-0.18,-0.07,-0.04,0.04,-0.23,-0.22,-0.09,0.58,0.21,-0.09,0.18,-0.06,-0.6,-0.97,-0.67,-0.42,-0.09,0.48,0.31,0.5,-0.64,-0.45,-0.29,0.1,0.41,-0.17,0.01,-0.25,-0.01,-0.22,0.32,0.33,-0.43,-0.12,-0.86,-0.76,-0.32,-0.03,0.21,0.04,-0.17,0.32,-0.18,20.09.07.03,241
-0.04,-0.32,-0.18,-0.42,-0.1,-0.6,-0.09,-0.4,-0.06,-0.1,0.1,-0.2,0.2,-0.14,0.33,-0.12,0.42,-0.12,0.18,-0.09,0.31,-0.1,-0.03,0.1,-0.12,0.3,0.69,0.46,0.2,0.7,0.67,0.64,-0.58,-1.32,-1.25,-0.58,-0.06,-0.03,-0.04,0.12,-0.09,0.03,0.29,-0.86,0.06,0.14,0.28,-0.27,-0.23,-0.89,-1.4,-1.22,-0.76,0.96,-0.89,-0.12,-0.43,-0.92,-0.1,0.53,-0.2,-0.18,0.08,-0.71,2.03,1.72,1.94,1.43,-0.6,-0.69,-1.15,-2.47,0.06,0.14,0.59,0.18,0.19,0.46,?,32.01.01@32.07.07,242
-0.1,-0.56,-0.04,-0.03,0.18,-0.18,0.1,0.28,-0.06,0.2,-0.27,0.21,0.01,-0.86,0.11,-0.14,0.16,0.08,0.63,-0.89,-0.43,-0.38,0.19,0.29,-0.01,-0.03,-0.14,-0.2,0.11,-0.3,-0.38,-0.22,?,0.12,0.08,-0.06,-0.03,-0.07,-1.36,0.11,-0.01,?,0.04,-0.54,0.04,-0.1,0.12,-0.09,-0.25,-0.36,-0.67,-0.29,-0.97,0.67,-0.32,-0.94,-0.15,0.03,-0.2,-0.56,-0.43,-0.58,-0.34,-0.62,0.54,0.41,0.46,0.08,-0.27,0.34,-0.32,-0.2,-0.15,?,-0.03,-0.4,-0.23,-0.29,-1.43,14.04@20.01.10@20.03@20.09.05,243
-0.14,-0.6,-0.69,-0.34,?,-0.51,-0.06,-0.56,-0.34,-0.17,-0.14,-0.29,-0.18,-0.42,-0.18,-0.47,-0.69,-0.42,-0.62,-0.51,-0.17,-0.04,-0.17,0.15,-0.06,0.45,0.32,0.55,-0.47,0.08,-0.17,0.1,-0.2,-0.76,-0.76,-0.47,-0.22,-0.25,-0.34,-0.42,-0.67,-0.38,-0.34,-0.42,-0.51,-0.64,-0.6,-0.42,-0.36,-0.97,-1.6,-1.15,-1.18,-0.03,-0.79,-0.81,-0.76,-0.74,-0.36,0.16,-0.62,-0.03,0.06,-0.62,0.81,-0.06,0.43,0.41,0.11,0.2,-0.47,-0.42,0.16,-0.1,0.2,-0.38,-0.47,-0.17,-0.64,14.04@16.01@20.01.10@20.03@20.09.05,244
-0.56,-0.43,-0.23,0.29,0.08,0.12,0.34,-0.32,-0.17,-0.36,-0.34,-0.34,0.18,-0.4,0.19,-0.27,-0.36,-0.43,-0.67,-0.38,0.28,-0.32,-0.14,0.15,-0.22,0.53,0.33,0.23,0.33,0.29,0.28,0.18,-0.79,-0.09,0.28,0.3,0.01,-0.51,-0.2,0.36,0.41,-0.09,-0.23,-0.71,-0.04,-0.09,0.01,0.01,0.32,-0.23,-0.76,-1.06,-0.97,0.6,-0.81,-1.09,0.58,-0.18,-0.43,-0.15,-0.22,-0.84,-0.14,-0.29,0.6,0.2,0.7,0.62,-0.69,-0.4,-1.43,-2.06,0.06,?,0.36,0.28,0.5,0.31,-0.81,20.09.07.03,245
-0.17,-0.51,0.14,0.21,0.06,-0.25,0.21,-0.62,-0.32,-0.69,-0.3,-0.25,?,-0.51,?,-0.62,-0.32,-0.43,-0.1,-0.71,-0.22,-0.15,0.18,0.31,0.42,0.55,0.44,0.28,0.01,0.19,0.2,?,0.11,0.06,0.14,-0.04,-0.17,-0.38,0.08,0.31,-0.09,-0.27,-0.07,-2.0,-0.25,-0.29,-0.18,-0.2,-0.42,-1.22,-1.18,-1.69,-1.25,0.63,-0.49,-0.81,-0.51,-1.64,0.11,0.46,-0.45,-0.86,0.1,-0.56,0.81,-0.29,0.69,0.99,-0.07,-0.12,?,-0.81,-0.15,0.21,0.65,-0.01,0.52,1.19,-0.23,01.05.03.02.04@01.06.02.01@14.07.01@14.07.02.01@14.07.02.02,246
-0.07,0.23,-0.3,-0.49,-0.49,-0.29,-0.15,-0.27,-0.03,-0.15,-0.2,-0.29,-0.27,-0.76,-0.62,-0.4,-0.47,-0.18,0.48,-0.3,-0.17,-0.23,-0.29,-0.54,-0.6,-0.23,-0.3,-0.36,0.03,-0.12,0.15,-0.06,0.61,-1.29,0.5,-0.07,0.1,0.25,0.34,-0.01,0.18,0.46,0.14,1.34,0.42,0.32,0.49,-0.1,-1.43,-1.94,-2.18,-1.84,-1.69,0.41,-0.23,0.08,-1.56,-1.6,-0.27,-0.51,-0.43,-0.67,-0.94,-1.18,0.19,0.71,0.4,0.36,-1.0,0.07,-0.2,-0.29,-0.3,-0.54,-0.27,-0.29,-0.22,0.44,-0.62,11.02.03.01.07@11.02.03.04@18.02.09,247
-0.29,0.12,-0.32,-0.4,-0.69,?,-0.43,-0.07,-0.06,0.37,0.08,?,-0.2,-0.32,-0.47,0.26,-0.07,0.16,0.82,-0.04,0.1,-0.23,-0.38,-0.29,-0.45,-0.12,?,0.03,0.06,0.1,0.29,-0.03,-0.15,-0.07,-0.3,-0.74,-0.89,-0.92,-0.29,-0.6,-0.3,0.16,-0.22,0.85,0.16,-0.1,0.06,0.19,-1.06,-0.89,-1.47,-1.25,-1.06,-0.03,-0.49,-0.04,-0.84,-0.07,0.03,0.16,-0.09,-0.25,-0.38,-0.92,0.91,0.53,0.45,0.28,-0.47,0.16,-0.4,-0.47,-0.14,0.18,-0.2,-0.51,-0.6,0.38,-0.14,11.02.03.01.04@11.02.03.04,248
-0.01,0.04,0.16,0.25,0.16,0.19,0.41,0.2,0.08,-0.14,?,-0.09,0.12,-0.12,0.16,-0.29,0.48,0.12,0.15,0.06,-0.18,0.04,0.01,0.25,0.21,0.24,0.03,-0.03,0.21,0.11,0.03,0.15,-0.29,-0.14,-0.27,-0.03,-0.29,-0.43,-0.29,-0.49,0.99,-0.62,-0.32,-0.49,-0.86,-0.32,-1.0,-0.43,-0.12,-0.38,-0.51,-0.97,-1.4,0.15,-0.38,-1.4,-0.4,-0.14,-0.01,-0.25,-0.3,-0.76,-0.27,-0.06,0.99,0.25,0.61,0.7,-0.42,-0.06,-0.27,-0.4,-0.03,0.03,-0.03,0.04,0.11,-0.09,-0.81,16.01@20.09.07,249
-0.43,-0.14,-0.14,-0.38,-0.58,-0.07,-0.25,-0.18,0.21,0.16,-0.06,-0.23,-0.27,-0.56,-0.3,0.08,-0.42,-0.17,0.04,0.31,-0.14,-0.17,-0.25,-0.07,-0.14,0.16,0.03,0.16,0.32,0.31,0.07,0.21,-0.29,0.28,0.12,-0.38,-0.23,0.3,0.24,0.54,0.58,0.25,0.31,1.21,1.04,0.52,0.94,0.03,-0.4,-0.64,-0.94,-1.06,-1.64,0.49,-0.54,-1.36,-0.58,-0.06,-0.29,-0.15,-0.01,-0.2,-0.29,-0.14,0.29,0.64,0.37,0.24,-0.6,0.34,-0.42,-0.36,0.04,-0.12,0.38,0.14,0.15,0.9,-0.04,02.13@02.25,250
0.04,-0.38,0.28,-0.06,0.04,?,?,-0.51,-0.3,-0.23,-0.3,-0.27,0.18,-0.84,-0.18,-0.51,-0.09,-0.58,0.74,-0.01,-0.15,-0.23,-0.1,-0.43,-0.51,-0.15,0.08,-0.15,0.06,0.12,-0.15,-0.14,0.14,0.1,0.18,0.16,0.16,-0.03,0.48,0.26,0.26,0.15,0.11,-0.04,0.94,0.72,1.07,-0.43,-0.14,-0.38,-0.64,-0.86,-0.67,0.34,-0.49,-0.71,-0.12,0.14,-0.29,-0.15,-0.18,-0.79,-0.49,0.74,0.53,0.46,0.15,0.2,-0.74,-0.38,-0.54,-1.25,?,-0.01,?,0.23,?,0.66,-0.18,16.01@20.09.18.09.01@32.01.03@34.11.03.07@40.01@42.01@42.04.03@43.01.03.05,251
-0.17,0.14,-0.34,-0.27,-0.42,0.07,-0.34,-0.38,-0.34,-0.47,-0.36,-0.43,-0.2,-0.45,-0.25,-0.4,?,-0.32,0.45,0.28,0.01,-0.25,-0.04,?,-0.14,0.16,-0.1,-0.22,-0.06,0.07,0.1,0.25,-0.3,-0.6,-0.12,0.06,?,0.1,0.04,0.23,-0.1,-0.01,0.06,-0.12,-0.04,0.01,0.1,-0.1,-0.12,-0.29,?,-0.94,-0.49,-0.14,-0.56,-0.43,-0.15,0.12,-0.22,-0.09,-0.18,-0.58,-0.3,-0.43,0.11,-0.09,0.14,0.2,-0.45,-0.23,-0.76,-0.6,0.04,0.1,?,-0.15,-0.36,0.36,0.14,01.06@14.07.01@14.07.11,252
0.33,?,0.53,0.08,0.19,-0.29,0.26,-0.32,-0.12,?,-0.3,-0.14,0.2,-0.36,-0.03,-0.42,-0.18,-0.38,-0.12,1.43,-0.43,-0.84,-0.47,-0.56,-0.23,-0.18,-0.36,-0.64,0.01,-0.06,-0.3,-0.38,?,0.15,0.06,?,-0.18,-0.1,0.24,0.11,-0.29,-0.04,-0.03,0.21,0.28,0.21,0.36,-0.94,-0.45,-1.03,-1.03,-1.56,-0.07,0.16,-0.79,-0.74,-1.06,-1.51,-0.06,0.21,-0.12,-0.92,-0.14,-0.42,0.57,1.24,0.83,0.94,-0.27,0.06,-0.18,-0.4,-0.15,0.08,0.42,-0.04,0.25,0.9,-0.09,01.04@01.05@32.01,253
0.11,0.01,-0.09,-0.22,0.2,-0.23,0.04,-0.22,0.06,0.28,-0.07,-0.14,-0.22,-0.3,-0.1,-0.3,0.19,-0.09,0.07,-0.42,-0.4,-0.3,-0.15,-0.09,-0.2,0.03,-0.07,-0.2,-0.1,-0.54,-0.25,-0.43,-0.34,-0.27,0.04,-0.17,-0.09,0.11,-0.25,-0.43,-0.15,0.23,0.07,0.04,0.49,0.39,0.77,-0.32,-0.56,-0.56,-0.71,-0.54,-0.6,0.2,-0.2,-0.29,-0.29,-0.12,-0.15,-0.4,0.24,-0.34,-0.45,0.11,0.75,1.04,-0.04,-0.12,-0.23,0.42,-0.3,-0.67,-0.15,-0.15,-0.2,-0.67,-0.38,-0.18,-0.97,14.01@16.01@42.04,254
-0.12,-0.01,-0.07,-0.12,-0.42,-0.14,-0.42,-0.23,-0.3,-0.2,-0.27,-0.4,-0.18,-0.45,-0.3,-0.38,-0.34,-0.32,1.11,0.07,-0.47,-0.25,-0.12,-0.15,-0.36,0.11,0.01,-0.03,0.12,0.4,0.18,0.23,-0.15,-0.25,0.06,0.29,0.16,0.16,0.2,0.54,0.4,0.33,0.4,0.58,-0.3,0.58,0.76,-0.01,-0.43,-0.67,?,-0.54,-0.45,0.52,0.45,0.26,-0.45,-1.0,-0.38,0.07,-0.23,-0.42,-0.6,-0.3,0.49,0.33,0.44,0.42,-0.51,0.04,-0.79,-0.84,0.01,-0.07,0.06,0.18,0.11,0.8,-0.4,14.10@16.07@20.09.14@42.04.03@43.01.03.05,255
0.21,0.03,0.33,0.34,0.39,0.11,-0.14,0.11,0.18,-0.22,0.38,-0.45,0.01,-0.2,0.26,0.07,-0.17,-0.49,0.45,-0.23,-0.25,0.14,-0.18,-0.51,-0.47,-0.15,-0.34,-0.32,-0.04,?,-0.2,-0.12,-0.03,0.06,?,0.41,0.23,0.33,0.3,0.6,0.39,0.32,0.45,-0.2,0.37,-0.01,0.58,-0.07,0.04,-0.38,-0.01,-0.23,-0.25,0.12,0.49,0.18,-0.4,-0.69,-0.06,-0.04,-0.2,-0.58,-0.47,-0.74,0.5,0.45,0.2,0.43,-0.12,0.15,-0.71,-1.03,0.03,-0.1,-0.07,-0.12,0.07,0.04,-0.86,14.10@16.01@20.09.18@40.01@42.04.03@43.01.03.05,256
0.04,0.3,0.01,0.33,0.03,0.08,0.11,-0.07,-0.14,0.04,-0.14,-0.23,-0.1,-0.18,-0.07,-0.4,-0.15,-0.4,1.41,0.32,0.24,0.04,-0.07,-0.12,-0.18,0.26,0.32,0.25,0.06,0.19,0.39,0.23,-0.09,-0.03,?,0.26,0.39,0.23,0.21,0.33,0.11,0.06,-0.79,0.25,0.14,0.03,0.33,-0.38,-0.14,-0.49,-0.84,-0.81,-0.58,0.5,-0.51,-0.64,-0.49,-0.71,0.08,0.18,?,-0.32,-0.38,0.63,0.2,-0.1,0.12,0.29,-0.03,0.08,-0.36,-0.54,-0.17,-0.15,0.19,0.07,0.21,-0.27,-0.51,16.01@32.01.03@40.01@42.04.03@43.01.03.05,257
-0.18,-0.17,-0.42,-0.6,-0.4,-0.4,-0.12,-0.62,-0.22,-0.09,-0.38,-0.4,-0.18,-0.51,-0.42,-0.71,-0.54,-0.38,-0.22,-0.1,-0.06,-0.3,-0.23,-0.09,-0.04,0.1,-0.04,0.06,0.15,-0.17,?,0.36,-0.36,-0.43,-0.58,-0.49,-0.43,-0.4,-0.36,0.08,0.15,-0.4,-1.47,-0.07,-0.47,-0.42,-0.58,-0.12,0.01,-0.54,-0.4,-0.07,-0.3,0.18,0.04,-0.2,-0.17,-0.51,0.11,-0.2,-0.43,-0.32,-0.06,0.29,0.67,0.01,0.59,0.19,-0.76,-0.03,-0.84,-0.71,0.16,0.21,1.02,0.42,0.16,0.51,0.03,01.05@14.07.02.02,258
-0.15,0.67,0.45,0.01,-0.67,-0.17,-0.2,0.23,0.31,0.7,0.77,0.44,-0.04,0.26,0.37,0.78,0.26,0.54,-0.32,0.54,-0.64,-0.51,-0.27,-0.3,0.04,0.18,0.01,0.03,0.14,0.25,0.24,0.44,-0.86,-0.69,-0.45,?,-0.29,-0.18,-0.2,0.07,0.66,0.45,0.25,0.95,0.55,0.86,1.29,0.26,-0.27,-1.03,-1.0,-0.62,-0.69,0.66,-0.17,0.38,-0.51,-1.15,0.29,0.12,-0.69,-0.23,-0.84,-0.25,-0.23,-1.84,-0.45,-0.64,0.15,-0.01,-0.81,-1.51,0.15,0.57,0.87,0.82,1.01,-0.12,-0.84,01.01.09.07.01@01.03.01.03@01.04,259
-0.09,-0.03,0.33,-0.25,0.07,-0.36,-0.01,-0.3,-0.14,-0.25,-0.12,-0.23,-0.32,-0.3,-0.17,-0.1,?,0.26,0.54,-0.42,-0.27,-0.15,-0.18,-0.47,-0.14,-0.09,0.28,0.19,-0.3,0.52,0.41,-0.04,0.15,0.16,0.12,-0.38,-0.38,-0.56,-0.17,0.18,-0.45,1.77,-0.47,0.25,-0.49,-0.76,-0.62,-0.32,-0.69,-0.76,-0.86,-0.92,-0.89,-0.42,-0.09,-0.2,-0.49,0.06,0.18,0.29,0.14,0.65,0.15,-0.03,-0.67,-0.45,0.07,-0.23,0.26,-0.18,0.08,-0.29,-0.12,0.07,0.69,-0.45,-0.18,0.86,0.1,14.04@16.01@20.01.10@20.09.16@20.09.18.09.01@42.04.03,260
0.16,-0.47,0.03,-0.2,0.03,-0.07,0.01,0.01,0.06,-0.29,0.33,0.07,-0.25,0.03,0.21,0.32,-0.07,-0.18,-0.34,?,-0.23,-0.18,-0.18,-0.32,0.04,-0.15,0.21,-0.03,-0.3,-0.01,-0.04,-0.27,-0.04,0.32,-0.4,-0.6,-0.51,-1.74,-0.32,0.8,-0.14,-1.6,-0.56,0.71,-1.22,-0.18,-0.67,-0.06,0.07,-0.54,-1.03,-0.79,-0.74,0.41,-0.58,-0.54,-0.07,-0.67,0.34,0.3,-0.2,-0.06,0.4,0.74,-0.97,-1.22,-0.38,-0.43,0.1,-0.74,-0.18,-1.09,0.36,0.7,0.81,0.34,0.39,-0.2,-0.15,10.01.05.03.05@14@20.01.01.01@20.01.15@20.03.22@20.09.13@34.01.01.03,261
-0.01,-0.86,-0.03,-0.2,-0.2,-0.2,-0.01,0.29,-0.07,-0.36,-0.06,-0.07,-0.34,-0.06,-0.12,0.52,-0.23,-0.03,0.14,-0.17,0.57,0.81,-0.17,-0.67,-0.84,-0.62,-0.2,-0.84,-2.0,-0.22,0.85,0.9,?,0.04,-0.09,0.03,-0.79,-0.62,-0.45,-0.43,-0.71,-0.62,-0.47,-0.18,-0.92,-0.2,-1.0,0.32,-0.92,-1.32,-1.64,0.34,1.64,0.78,-0.27,2.09,-1.15,-3.18,0.31,0.9,1.08,-0.12,0.15,-0.01,-0.51,-0.43,-0.36,-0.45,0.28,0.03,-0.4,-0.01,0.36,0.63,0.7,0.04,-0.29,1.63,2.46,01.01@01.05.02.04@01.05.02.07@02.07,262
-0.07,-0.38,-0.25,-0.29,-0.04,-0.22,0.14,-0.15,-0.14,-0.09,-0.22,-0.29,-0.1,-0.09,-0.17,-0.09,-0.12,0.04,-1.32,-0.06,-0.62,-0.86,-1.12,-0.89,-0.1,0.18,0.67,-0.06,0.11,0.43,0.37,-0.58,-0.38,-0.47,-0.34,-0.74,-0.76,-0.29,-0.58,0.72,-0.45,-1.32,-0.18,0.07,-1.09,-0.43,-0.6,-0.03,0.63,-1.47,-1.94,-2.4,-2.18,2.59,-0.69,-0.97,-0.18,-1.64,0.1,-0.32,0.18,0.93,-0.25,0.34,-0.71,-0.4,-0.51,-0.79,-0.01,0.34,0.1,-0.29,-0.6,-0.47,1.08,-0.14,-0.17,1.37,3.74,01.05.25@20.01.03.03@20.03.02.03@20.09.04,263
-0.49,-0.42,-0.12,-0.51,-0.25,-0.32,-0.15,-0.42,-0.34,-0.42,-0.32,-0.64,-0.3,-0.71,-0.12,-0.49,-0.17,-0.45,0.67,0.11,0.14,0.08,-0.06,0.14,0.15,0.29,0.31,0.2,-0.22,0.39,0.18,-0.01,0.2,-0.04,0.11,-0.42,-0.54,-0.42,0.53,0.62,-0.4,-1.47,-0.42,0.98,-0.94,0.21,-0.38,-0.34,0.1,-0.09,-0.14,-0.45,-0.71,0.31,-0.03,-0.71,-1.4,-1.56,0.04,0.29,-0.27,-0.47,-0.27,-0.14,-0.36,-0.43,-0.6,-0.17,-0.09,-0.04,-0.32,-0.54,-0.23,-0.23,-0.09,0.08,0.64,1.8,2.3,02.11@02.13.03@20.01.15,264
-0.38,-0.2,-1.0,-0.09,-0.79,-0.06,-0.4,-0.23,-0.51,0.01,-0.51,-0.23,-0.25,-0.64,-0.81,-0.27,-0.54,-0.17,0.75,1.06,0.33,-0.3,-0.97,-0.92,-0.6,0.42,0.73,0.68,0.28,0.63,0.7,0.26,-0.64,-0.23,-0.42,-0.23,-0.3,-0.15,-0.29,-0.2,?,-0.29,-0.3,0.14,-0.92,-0.62,-0.49,0.1,-2.84,-2.84,-2.0,-2.12,-1.12,-0.22,0.45,1.3,-1.74,-3.32,0.21,-0.09,0.01,0.23,0.14,-0.45,-0.32,-0.47,-0.43,-0.32,-0.04,0.25,-0.69,-0.89,-0.12,-0.18,0.43,-0.09,-0.25,0.41,3.88,01.04@01.05@02.01,265
-0.76,-0.04,-0.2,-0.12,-0.12,-0.09,-0.42,0.03,0.04,-0.38,-0.3,-0.4,-0.22,-0.34,-0.07,0.16,-0.25,-0.09,-1.06,1.24,0.43,0.55,-0.76,-0.49,0.51,1.16,1.71,1.06,0.4,1.11,1.56,0.93,-0.01,-0.07,-0.1,-0.36,0.04,0.36,0.04,0.46,0.1,0.33,0.04,-0.04,0.44,0.53,0.1,0.36,0.7,-1.74,-0.49,-0.15,0.41,2.34,1.4,2.22,-0.47,-3.84,-0.06,0.37,0.59,0.58,-0.71,0.44,-0.49,-0.92,-0.54,-0.12,-0.38,0.43,0.5,0.9,0.12,0.16,0.55,0.08,-0.15,0.54,3.7,01.05@02.04,266
-0.49,-1.0,0.07,-0.54,0.28,-0.4,0.36,-0.74,-0.06,-0.94,-0.01,0.03,0.11,-0.92,-0.25,-0.22,-0.94,-0.58,-0.38,-0.84,-0.67,-0.92,-0.92,-0.69,-0.86,-0.2,0.21,0.2,-0.06,0.29,0.34,0.57,-0.42,-0.56,-1.12,-0.6,-0.62,-0.74,0.18,0.26,0.29,-0.84,-0.15,-1.25,-0.89,-0.45,-0.45,-0.64,-0.17,-2.12,-2.56,-1.6,-0.76,2.05,-0.6,1.06,-0.14,-2.18,0.15,0.92,0.66,0.5,0.98,0.03,-0.76,-0.76,-0.38,0.03,-0.47,-0.23,-0.38,-0.69,-0.25,-0.51,0.31,0.2,0.49,0.58,0.51,01.02@14.13.01@14.13.04,267
-0.14,-0.1,0.01,0.01,-0.01,-0.18,-0.29,-0.32,-0.03,-0.32,-0.12,-0.25,-0.14,-0.36,-0.18,-0.06,-0.6,-0.22,0.38,0.28,0.21,0.1,-0.54,-0.32,-0.07,0.01,0.01,0.12,-0.1,0.19,0.36,0.1,0.11,-0.04,-0.12,-0.45,-0.6,0.16,-0.25,0.4,-0.18,-0.92,-0.25,0.21,-1.18,-0.58,-0.81,0.1,0.64,-0.43,-1.12,-0.79,-0.07,0.96,-0.89,0.04,0.64,-0.81,0.04,0.99,1.14,0.65,0.16,-0.06,0.03,-0.47,?,?,-0.06,0.36,-0.09,0.26,0.11,0.48,0.77,0.51,0.18,1.06,0.99,14.07.11@14.13.04,268
